,Power [kW],Temperature [°C],Holiday,Hour,Day_of_the_week,Month,working_day,logtemp,Power-1
0,161.108675,10.256666666666666,0.0,7,0,1,1,2.327927900665841,139.113338
1,207.5688797,10.105833333333335,0.0,8,0,1,1,2.3131128148807,161.108675
2,298.6870068,10.384166666666667,0.0,9,0,1,1,2.3402822101667757,207.5688797
3,336.420448,10.936666666666667,0.0,10,0,1,1,2.392121058304901,298.6870068
4,344.547567,11.874166666666667,0.0,11,0,1,1,2.4743651720196973,336.420448
5,317.6479124,12.63,0.0,12,0,1,1,2.5360749363624,344.547567
6,319.1310122,13.617500000000001,0.0,13,0,1,1,2.6113557302756925,317.6479124
7,335.5880619,13.714166666666669,0.0,14,0,1,1,2.6184293618192913,319.1310122
8,333.6758971,13.20083333333333,0.0,15,0,1,1,2.580279958912759,335.5880619
9,310.4942477,13.099166666666667,0.0,16,0,1,1,2.5725486149521464,333.6758971
10,263.5074442,13.498333333333333,0.0,17,0,1,1,2.6025662210328435,310.4942477
11,205.6567149,13.875,0.0,18,0,1,1,2.630088659632498,263.5074442
12,172.1417152,13.494166666666667,0.0,19,0,1,1,2.602257493297379,205.6567149
13,142.1375137,13.40333333333333,0.0,20,0,1,1,2.5955034322410726,172.1417152
14,135.6644926,13.689166666666667,0.0,21,0,1,1,2.6166047657651084,142.1375137
15,133.9245817,13.789166666666667,0.0,22,0,1,1,2.6238832597157526,135.6644926
16,132.5417366,14.146153846153844,0.0,23,0,1,1,2.6494427741487385,133.9245817
17,134.0449292,14.389999999999999,0.0,0,1,1,1,2.6665335208992764,132.5417366
18,133.265496,14.2275,0.0,1,1,1,1,2.655176711495142,134.0449292
19,132.7612923,14.8125,0.0,5,1,1,1,2.69547141889535,133.265496
20,145.9055416,14.8925,0.0,6,1,1,1,2.7008577305207053,132.7612923
21,172.6256168,14.915,0.0,7,1,1,1,2.7023674179667116,145.9055416
22,225.1266381,14.969166666666668,0.0,8,1,1,1,2.705992529992744,172.6256168
23,294.2259866,15.356666666666664,0.0,9,1,1,1,2.731549690279716,225.1266381
24,323.5727768,15.551666666666668,0.0,10,1,1,1,2.744167814017876,294.2259866
25,327.5505233,15.38833333333333,0.0,11,1,1,1,2.733609646556481,323.5727768
26,303.585464,16.289166666666663,0.0,12,1,1,1,2.79050026517693,327.5505233
27,291.0075805,16.326666666666668,0.0,13,1,1,1,2.7927997628559122,303.585464
28,301.1577933,16.334166666666665,0.0,14,1,1,1,2.7932590285491834,291.0075805
29,296.4267761,16.42833333333333,0.0,15,1,1,1,2.7990074864492924,301.1577933
30,276.0072588,15.54,0.0,16,1,1,1,2.7434173449395014,296.4267761
31,245.6229685,15.3375,0.0,17,1,1,1,2.73030081003703,276.0072588
32,197.7462214,15.173333333333334,0.0,18,1,1,1,2.7195395011499657,245.6229685
33,166.4698945,15.049999999999999,0.0,19,1,1,1,2.7113779911948845,197.7462214
34,138.3177887,14.9475,0.0,20,1,1,1,2.7045440617729226,166.4698945
35,134.0426269,11.721666666666666,0.0,4,2,1,1,2.461438981091872,138.3177887
36,134.546412,11.645000000000001,0.0,5,2,1,1,2.4548769033363045,134.0426269
37,151.9187306,11.561666666666667,0.0,6,2,1,1,2.447695028169155,134.546412
38,185.6894949,11.54,0.0,7,2,1,1,2.4458192610799534,151.9187306
39,238.7110453,11.348333333333336,0.0,8,2,1,1,2.4290708902668205,185.6894949
40,309.6116296,11.493333333333332,0.0,9,2,1,1,2.4417671571273827,238.7110453
41,378.0956361,11.773333333333333,0.0,10,2,1,1,2.4658370870676496,309.6116296
42,357.9109534,12.282499999999999,0.0,11,2,1,1,2.5081754850606663,378.0956361
43,300.7846114,13.212499999999999,0.0,12,2,1,1,2.581163351196356,357.9109534
44,288.7027689,14.205833333333333,0.0,13,2,1,1,2.6536526783748333,300.7846114
45,306.6502439,14.279166666666667,0.0,14,2,1,1,2.6588015985326177,288.7027689
46,310.2757385,14.047499999999998,0.0,15,2,1,1,2.642444444004216,306.6502439
47,312.0401375,13.847500000000002,0.0,16,2,1,1,2.628104710925122,310.2757385
48,276.8632958,13.749166666666667,0.0,17,2,1,1,2.6209782162153528,312.0401375
49,223.9129074,13.616666666666667,0.0,18,2,1,1,2.6112945326379022,276.8632958
50,188.70488,13.453333333333333,0.0,19,2,1,1,2.5992269068172984,223.9129074
51,160.4133804,13.068333333333333,0.0,20,2,1,1,2.5701920010147754,188.70488
52,151.5851064,12.902500000000002,0.0,21,2,1,1,2.5574210910407453,160.4133804
53,149.722755,12.415833333333333,0.0,22,2,1,1,2.5189725398112475,151.5851064
54,147.8392643,12.093846153846155,0.0,23,2,1,1,2.4926967409040737,149.722755
55,145.1552011,11.873333333333335,1.0,0,3,1,0,2.474294989193406,147.8392643
56,144.6811366,11.826666666666666,1.0,1,3,1,0,2.470356868773269,145.1552011
57,144.8464836,11.335833333333333,1.0,2,3,1,0,2.4279687998573385,144.6811366
58,141.0818045,10.825000000000001,1.0,3,3,1,0,2.3818582738885534,144.8464836
59,131.7221178,10.339166666666666,1.0,5,3,1,0,2.3359392726667796,141.0818045
60,143.4341272,9.801666666666668,1.0,6,3,1,0,2.2825524392438097,131.7221178
61,172.1500872,9.226666666666667,1.0,7,3,1,0,2.222097842081359,143.4341272
62,243.3392962,8.825,1.0,8,3,1,0,2.1775886028193603,172.1500872
63,306.1259474,8.76,1.0,9,3,1,0,2.1701959049483,243.3392962
64,319.2626619,9.19,1.0,10,3,1,0,2.2181159363675955,306.1259474
65,319.2323134,9.628333333333334,1.0,11,3,1,0,2.264710140565119,319.2626619
66,297.469718,9.718333333333335,1.0,12,3,1,0,2.2740141360060098,319.2323134
67,298.3046157,10.295833333333333,1.0,13,3,1,0,2.331739282646619,297.469718
68,315.3433101,10.200833333333334,1.0,14,3,1,0,2.3224694162994206,298.3046157
69,314.1534396,10.051666666666668,1.0,15,3,1,0,2.3077384582348404,315.3433101
70,304.8477523,10.045,1.0,16,3,1,0,2.3070749982668977,314.1534396
71,272.1588597,9.952499999999999,1.0,17,3,1,0,2.297823775892335,304.8477523
72,205.8624568,9.9625,1.0,18,3,1,0,2.2988280441163336,272.1588597
73,174.3648998,9.915833333333333,1.0,19,3,1,0,2.294132806179062,205.8624568
74,145.3192923,9.7875,1.0,20,3,1,0,2.2811060613169216,174.3648998
75,132.0946718,9.650833333333333,1.0,21,3,1,0,2.267044267408286,145.3192923
76,132.2568793,9.28,1.0,22,3,1,0,2.2278615467981093,132.0946718
77,132.6275496,9.445,0.0,0,4,1,1,2.245485500953473,132.2568793
78,132.3874825,9.258333333333335,0.0,1,4,1,1,2.225524046857584,132.6275496
79,141.1291063,8.220833333333333,0.0,6,4,1,1,2.106671582680624,132.3874825
80,178.7639672,7.815833333333333,0.0,7,4,1,1,2.056151590732847,141.1291063
81,247.6776666,7.44,0.0,8,4,1,1,2.0068708488450007,178.7639672
82,318.7216214,7.142499999999998,0.0,9,4,1,1,1.9660628551227908,247.6776666
83,337.0563014,7.178666666666668,0.0,10,4,1,1,1.9711136647942078,318.7216214
84,343.5950427,7.409166666666667,0.0,11,4,1,1,2.0027179723450472,337.0563014
85,308.0086009,7.896666666666666,0.0,12,4,1,1,2.066440729502584,343.5950427
86,294.9641877,8.71,0.0,13,4,1,1,2.1644717908644115,308.0086009
87,295.3047188,10.915000000000001,0.0,14,4,1,1,2.3901379900019073,294.9641877
88,291.7457816,12.513333333333334,0.0,15,4,1,1,2.526794742490253,295.3047188
89,277.6077759,12.749999999999998,0.0,16,4,1,1,2.545531271604435,291.7457816
90,240.5057928,12.152500000000002,0.0,17,4,1,1,2.4975349099374737,277.6077759
91,202.8449787,12.3575,0.0,18,4,1,1,2.5142631661989774,240.5057928
92,172.0422977,12.5375,0.0,19,4,1,1,2.5287241532880538,202.8449787
93,150.2416097,12.189166666666667,0.0,20,4,1,1,2.5005475791109966,172.0422977
94,139.5354961,11.205833333333333,0.0,21,4,1,1,2.4164344760477783,150.2416097
95,133.1660785,10.2,0.0,22,4,1,1,2.322387720290225,139.5354961
96,131.714583,9.675384615384614,0.0,23,4,1,1,2.2695849916538204,133.1660785
97,136.7832011,9.49,0.0,0,5,1,0,2.2502386126218363,131.714583
98,135.0504064,9.2475,0.0,1,5,1,0,2.224353244724472,136.7832011
99,134.8025952,8.788333333333334,0.0,2,5,1,0,2.1734250843143235,135.0504064
100,133.7893739,8.275833333333333,0.0,3,5,1,0,2.113339621127267,134.8025952
101,131.961557,7.739166666666667,0.0,4,5,1,0,2.0462940159999166,133.7893739
102,131.3910052,7.385833333333333,0.0,5,5,1,0,1.9995637509623063,131.961557
103,134.3586699,7.290000000000002,0.0,6,5,1,0,1.9865035460205671,131.3910052
104,134.9047336,7.140833333333334,0.0,7,5,1,0,1.9658294828930272,134.3586699
105,141.3576619,7.207083333333333,0.0,8,5,1,0,1.9750643387078863,134.9047336
106,136.1153248,8.15,0.0,9,5,1,0,2.0980179272527715,141.3576619
107,135.0024767,9.059999999999997,0.0,10,5,1,0,2.2038691200548874,136.1153248
108,131.5004691,9.874166666666666,0.0,11,5,1,0,2.289921919040648,135.0024767
109,132.3106694,10.8575,0.0,12,5,1,0,2.38485608542684,131.5004691
110,138.2003714,11.833333333333334,0.0,13,5,1,0,2.4709204078132605,132.3106694
111,139.8241208,12.53,0.0,14,5,1,0,2.528125768907977,138.2003714
112,143.311896,13.441666666666668,0.0,15,5,1,0,2.598359335343163,139.8241208
113,161.7217147,13.421666666666665,0.0,16,5,1,0,2.5968703165793983,143.311896
114,193.7234754,12.286666666666667,0.0,17,5,1,0,2.5085146635735676,161.7217147
115,193.5654539,12.03,0.0,18,5,1,0,2.4874035299865875,193.7234754
116,144.2100023,11.966666666666669,0.0,19,5,1,0,2.4821250068261236,193.5654539
117,140.9637593,11.746666666666668,0.0,20,5,1,0,2.4635695123998693,144.2100023
118,139.1652444,11.470833333333337,0.0,21,5,1,0,2.439807581800616,140.9637593
119,138.1287908,11.295,0.0,22,5,1,0,2.4243601499199667,139.1652444
120,136.4397398,10.276666666666667,0.0,23,5,1,0,2.3298759532299496,138.1287908
121,135.9160712,9.829166666666667,0.0,0,6,1,0,2.285354156065684,136.4397398
122,134.1803463,9.2875,0.0,1,6,1,0,2.2286694100438775,135.9160712
123,133.3730762,8.750833333333333,0.0,2,6,1,0,2.1691489339299017,134.1803463
124,132.4358308,7.430833333333335,0.0,3,6,1,0,2.005638010358788,133.3730762
125,130.9977305,12.4625,0.0,15,6,1,0,2.5227241352879566,132.4358308
126,132.597829,12.543333333333335,0.0,16,6,1,0,2.5291893159372365,130.9977305
127,134.1713464,11.771666666666667,0.0,17,6,1,0,2.4656955141927757,132.597829
128,139.5269148,11.448333333333332,0.0,18,6,1,0,2.437844158997735,134.1713464
129,145.5516153,10.990833333333335,0.0,19,6,1,0,2.397061592049793,139.5269148
130,142.4209059,10.247500000000002,0.0,20,6,1,0,2.327033773396356,145.5516153
131,140.8662255,9.994166666666667,0.0,21,6,1,0,2.3020015894556294,142.4209059
132,139.2521039,9.750833333333334,0.0,22,6,1,0,2.277352751442866,140.8662255
133,141.4769629,9.258461538461539,0.0,23,6,1,0,2.2255378943003077,139.2521039
134,141.4660793,8.882499999999999,0.0,0,0,1,1,2.184083048913045,141.4769629
135,142.217257,8.838333333333333,0.0,1,0,1,1,2.1790983219209834,141.4660793
136,139.1288262,9.058333333333334,0.0,2,0,1,1,2.2036851443391634,142.217257
137,143.9372844,8.589166666666667,0.0,3,0,1,1,2.150501719260701,139.1288262
138,142.8832496,7.5299999999999985,0.0,4,0,1,1,2.018895041811802,143.9372844
139,147.1602951,8.314166666666667,0.0,5,0,1,1,2.1179608871374156,142.8832496
140,150.7290694,7.6611666666666665,0.0,6,0,1,1,2.0361642785084157,147.1602951
141,185.5482174,6.286583333333334,0.0,7,0,1,1,1.8384177328820077,150.7290694
142,271.7270738,6.707,0.0,8,0,1,1,1.9031517571176002,185.5482174
143,362.2746491,7.8224166666666655,0.0,9,0,1,1,2.056993543473369,271.7270738
144,369.745194,7.883333333333334,0.0,10,0,1,1,2.064750826269832,362.2746491
145,382.3906814,9.729166666666666,0.0,11,0,1,1,2.2751282467610063,369.745194
146,342.425265,11.163333333333334,0.0,12,0,1,1,2.4126345981380037,382.3906814
147,333.8182211,13.209166666666667,0.0,13,0,1,1,2.580911033021801,342.425265
148,338.8472815,15.978333333333333,0.0,14,0,1,1,2.7712336378608504,333.8182211
149,352.7805918,15.89333333333333,0.0,15,0,1,1,2.7658997340889844,338.8472815
150,342.5922864,16.100833333333334,0.0,16,0,1,1,2.7788710304852917,352.7805918
151,300.6267992,14.736666666666665,0.0,17,0,1,1,2.690338719170042,342.5922864
152,243.9088015,13.589166666666669,0.0,18,0,1,1,2.609272906685186,300.6267992
153,204.8843979,13.299166666666666,0.0,19,0,1,1,2.5877013766230945,243.9088015
154,146.0824001,12.756666666666668,0.0,20,0,1,1,2.546054010769501,204.8843979
155,136.4502048,11.835833333333333,0.0,21,0,1,1,2.4711316531050365,146.0824001
156,140.421463,11.463333333333336,0.0,22,0,1,1,2.4391535357760654,136.4502048
